product_name,review_text,rating,source
"Once my mom finds a product she loves, she’ll never let it go🤩 #skincare #korean #glowyskin",because she has been under the knife darling. you need to be rich to look young. i have never met a single rich woman who looks old. 😂,3,YouTube
"Once my mom finds a product she loves, she’ll never let it go🤩 #skincare #korean #glowyskin",she's beautiful but also that can't just be her secret bobby brown cleansing oils only been around for about a decade maybe the night serum because that's been around for 40 years❤😅,3,YouTube
"Once my mom finds a product she loves, she’ll never let it go🤩 #skincare #korean #glowyskin","like the content like what they're putting together hot congratulations , keep up wonderful work",3,YouTube
"Once my mom finds a product she loves, she’ll never let it go🤩 #skincare #korean #glowyskin",i'm not seeing a ring on that finger.,3,YouTube
"Once my mom finds a product she loves, she’ll never let it go🤩 #skincare #korean #glowyskin","i’m 52 and have similar skin.
i can honestly say, being half asian helps. my mom’s genetics was my lottery, but i also follow up with the same products i have used since the 90s.
dhc skincare is my holy grail and i will not be caught out with out it ❤",3,YouTube
"Once my mom finds a product she loves, she’ll never let it go🤩 #skincare #korean #glowyskin",she looks 50 😂🤣🤣🤣,3,YouTube
"Once my mom finds a product she loves, she’ll never let it go🤩 #skincare #korean #glowyskin",why does she have a grey cast jawline?,3,YouTube
"Once my mom finds a product she loves, she’ll never let it go🤩 #skincare #korean #glowyskin","beautiful hair style 😍 
the products don't interest me",3,YouTube
"Once my mom finds a product she loves, she’ll never let it go🤩 #skincare #korean #glowyskin",all on boycott list! don't support the holocaust inflicted on the people of gaza!🇵🇸,3,YouTube
"Once my mom finds a product she loves, she’ll never let it go🤩 #skincare #korean #glowyskin",i thought she was in late 30s 😂,3,YouTube
"Once my mom finds a product she loves, she’ll never let it go🤩 #skincare #korean #glowyskin",shes 50 i though she was 39,3,YouTube
"Once my mom finds a product she loves, she’ll never let it go🤩 #skincare #korean #glowyskin",boycotting 🇬🇱,3,YouTube
